identifier,country,city,accent,gender,age,speech_rate,voice,top_p,temperature,repetition_penalty
USA_Los Angeles_Female_22_Fast,USA,Los Angeles,Westcoast US,Female,22,Fast,emma,0.98,0.67,1.31
USA_Chicago_Male_43_Fast,USA,Chicago,Midwest US,Male,43,Fast,josh,0.99,0.55,1.34
USA_Chicago_Female_39_Normal,USA,Chicago,Midwest US,Female,39,Normal,tara,0.97,0.6,1.41
USA_Dallas_Female_55_Slow,USA,Dallas,South US,Female,55,Slow,tara,0.96,0.54,1.43
USA_Los Angeles_Female_31_Slow,USA,Los Angeles,Westcoast US,Female,31,Slow,emma,0.94,0.7,1.39
USA_New York_Male_15_Fast,USA,New York,Eastcoast US,Male,15,Fast,dan,0.99,0.69,1.48
USA_Los Angeles_Female_38_Slow,USA,Los Angeles,Westcoast US,Female,38,Slow,tara,0.99,0.51,1.11
USA_Miami_Female_26_Normal,USA,Miami,Latin,Female,26,Normal,tara,0.9,0.64,1.18
USA_New York_Female_49_Normal,USA,New York,Eastcoast US,Female,49,Normal,emma,0.9,0.69,1.1
USA_Los Angeles_Male_19_Slow,USA,Los Angeles,Westcoast US,Male,19,Slow,josh,0.94,0.54,1.36
USA_New York_Male_40_Slow,USA,New York,Eastcoast US,Male,40,Slow,josh,0.98,0.61,1.46
USA_Dallas_Male_31_Normal,USA,Dallas,South US,Male,31,Normal,dan,1.0,0.68,1.2
USA_New York_Male_38_Normal,USA,New York,Eastcoast US,Male,38,Normal,dan,0.92,0.51,1.47
USA_Miami_Male_54_Normal,USA,Miami,Latin,Male,54,Normal,josh,0.96,0.64,1.12
UK_London_Male_33_Normal,UK,London,England,Male,33,Normal,josh,0.94,0.56,1.47
USA_Los Angeles_Female_51_Normal,USA,Los Angeles,Westcoast US,Female,51,Normal,emma,1.0,0.68,1.24
USA_Los Angeles_Male_34_Fast,USA,Los Angeles,Westcoast US,Male,34,Fast,josh,0.98,0.69,1.14
USA_New York_Female_34_Slow,USA,New York,Eastcoast US,Female,34,Slow,tara,0.98,0.69,1.29
IND_Delhi_Female_64_Slow,IND,Delhi,India,Female,64,Slow,emma,0.95,0.59,1.2
USA_Miami_Female_51_Normal,USA,Miami,Latin,Female,51,Normal,tara,0.94,0.67,1.21
USA_Miami_Male_42_Fast,USA,Miami,Latin,Male,42,Fast,josh,0.93,0.67,1.22
IND_Delhi_Female_16_Normal,IND,Delhi,India,Female,16,Normal,tara,0.91,0.56,1.42
USA_Chicago_Male_39_Normal,USA,Chicago,Midwest US,Male,39,Normal,josh,0.99,0.67,1.32
IND_Delhi_Female_51_Fast,IND,Delhi,India,Female,51,Fast,emma,0.98,0.51,1.22
USA_New York_Female_46_Normal,USA,New York,Eastcoast US,Female,46,Normal,emma,1.0,0.62,1.34
USA_Los Angeles_Female_43_Slow,USA,Los Angeles,Westcoast US,Female,43,Slow,emma,1.0,0.55,1.39
USA_Los Angeles_Male_32_Slow,USA,Los Angeles,Westcoast US,Male,32,Slow,dan,0.96,0.52,1.21
USA_Los Angeles_Female_28_Slow,USA,Los Angeles,Westcoast US,Female,28,Slow,emma,0.98,0.52,1.27
USA_Miami_Male_61_Normal,USA,Miami,Latin,Male,61,Normal,dan,0.99,0.64,1.15
USA_Los Angeles_Female_26_Fast,USA,Los Angeles,Westcoast US,Female,26,Fast,tara,0.98,0.57,1.17
AUS_Sydney_Female_28_Normal,AUS,Sydney,Australia,Female,28,Normal,tara,0.92,0.64,1.37
USA_Miami_Male_23_Fast,USA,Miami,Latin,Male,23,Fast,dan,0.95,0.51,1.17
IND_Delhi_Male_51_Normal,IND,Delhi,India,Male,51,Normal,josh,0.91,0.56,1.31
USA_New York_Male_15_Slow,USA,New York,Eastcoast US,Male,15,Slow,dan,1.0,0.61,1.38
USA_Los Angeles_Female_48_Fast,USA,Los Angeles,Westcoast US,Female,48,Fast,tara,0.96,0.66,1.14
CA_Montreal_Female_56_Normal,CA,Montreal,French,Female,56,Normal,tara,0.92,0.56,1.33
USA_Los Angeles_Male_28_Normal,USA,Los Angeles,Westcoast US,Male,28,Normal,josh,0.97,0.63,1.2
USA_Los Angeles_Female_40_Slow,USA,Los Angeles,Westcoast US,Female,40,Slow,emma,0.96,0.68,1.49
USA_Los Angeles_Male_37_Slow,USA,Los Angeles,Westcoast US,Male,37,Slow,josh,0.94,0.62,1.29
USA_Los Angeles_Female_16_Normal,USA,Los Angeles,Westcoast US,Female,16,Normal,emma,0.91,0.55,1.42
UK_London_Female_31_Normal,UK,London,England,Female,31,Normal,tara,0.97,0.5,1.32
USA_Los Angeles_Male_19_Fast,USA,Los Angeles,Westcoast US,Male,19,Fast,dan,0.95,0.67,1.12
USA_Los Angeles_Male_65_Normal,USA,Los Angeles,Westcoast US,Male,65,Normal,josh,0.98,0.5,1.35
USA_Los Angeles_Female_32_Slow,USA,Los Angeles,Westcoast US,Female,32,Slow,tara,0.95,0.67,1.48
USA_Los Angeles_Female_41_Normal,USA,Los Angeles,Westcoast US,Female,41,Normal,tara,0.99,0.61,1.34
USA_New York_Male_20_Normal,USA,New York,Eastcoast US,Male,20,Normal,dan,0.96,0.69,1.43
USA_Chicago_Male_37_Normal,USA,Chicago,Midwest US,Male,37,Normal,josh,0.96,0.66,1.45
IND_Delhi_Female_46_Fast,IND,Delhi,India,Female,46,Fast,emma,0.99,0.7,1.19
USA_Chicago_Female_32_Normal,USA,Chicago,Midwest US,Female,32,Normal,tara,0.94,0.57,1.18
USA_Los Angeles_Male_51_Normal,USA,Los Angeles,Westcoast US,Male,51,Normal,josh,0.91,0.65,1.34
USA_New York_Female_70_Normal,USA,New York,Eastcoast US,Female,70,Normal,emma,0.9,0.58,1.26
USA_Los Angeles_Male_31_Slow,USA,Los Angeles,Westcoast US,Male,31,Slow,josh,0.98,0.6,1.44
CA_Montreal_Male_21_Normal,CA,Montreal,French,Male,21,Normal,josh,0.96,0.63,1.46
USA_New York_Female_18_Normal,USA,New York,Eastcoast US,Female,18,Normal,emma,0.97,0.67,1.24
USA_Los Angeles_Male_23_Slow,USA,Los Angeles,Westcoast US,Male,23,Slow,dan,0.92,0.7,1.19
USA_New York_Male_59_Normal,USA,New York,Eastcoast US,Male,59,Normal,josh,0.91,0.65,1.41
USA_New York_Male_45_Slow,USA,New York,Eastcoast US,Male,45,Slow,dan,0.9,0.58,1.21
USA_Miami_Female_60_Fast,USA,Miami,Latin,Female,60,Fast,tara,0.94,0.58,1.43
USA_New York_Female_60_Normal,USA,New York,Eastcoast US,Female,60,Normal,emma,0.96,0.65,1.27
USA_Chicago_Female_62_Normal,USA,Chicago,Midwest US,Female,62,Normal,tara,0.94,0.55,1.37
USA_Chicago_Female_38_Normal,USA,Chicago,Midwest US,Female,38,Normal,tara,0.94,0.52,1.14
USA_Los Angeles_Female_26_Normal,USA,Los Angeles,Westcoast US,Female,26,Normal,tara,0.99,0.57,1.35
CA_Montreal_Male_26_Normal,CA,Montreal,French,Male,26,Normal,josh,0.93,0.56,1.28
USA_New York_Male_32_Normal,USA,New York,Eastcoast US,Male,32,Normal,josh,0.95,0.56,1.33
USA_Los Angeles_Female_15_Fast,USA,Los Angeles,Westcoast US,Female,15,Fast,tara,0.98,0.55,1.17
USA_Los Angeles_Female_64_Slow,USA,Los Angeles,Westcoast US,Female,64,Slow,emma,0.94,0.51,1.39
USA_New York_Female_23_Normal,USA,New York,Eastcoast US,Female,23,Normal,emma,0.96,0.5,1.45
USA_New York_Female_41_Normal,USA,New York,Eastcoast US,Female,41,Normal,emma,0.99,0.7,1.19
USA_New York_Female_33_Fast,USA,New York,Eastcoast US,Female,33,Fast,emma,0.99,0.59,1.14
USA_Los Angeles_Male_44_Slow,USA,Los Angeles,Westcoast US,Male,44,Slow,dan,0.91,0.58,1.11
UK_London_Male_54_Normal,UK,London,England,Male,54,Normal,dan,0.99,0.64,1.36
USA_Los Angeles_Male_53_Normal,USA,Los Angeles,Westcoast US,Male,53,Normal,josh,0.95,0.54,1.34
USA_Los Angeles_Female_52_Normal,USA,Los Angeles,Westcoast US,Female,52,Normal,emma,0.93,0.69,1.32
USA_Miami_Male_26_Normal,USA,Miami,Latin,Male,26,Normal,dan,0.95,0.66,1.19
CA_Montreal_Female_34_Normal,CA,Montreal,French,Female,34,Normal,tara,1.0,0.52,1.26
USA_Los Angeles_Male_72_Normal,USA,Los Angeles,Westcoast US,Male,72,Normal,josh,0.95,0.58,1.34
USA_Los Angeles_Female_23_Normal,USA,Los Angeles,Westcoast US,Female,23,Normal,tara,0.93,0.68,1.3
USA_Los Angeles_Male_43_Normal,USA,Los Angeles,Westcoast US,Male,43,Normal,josh,0.96,0.69,1.5
USA_New York_Male_19_Slow,USA,New York,Eastcoast US,Male,19,Slow,josh,0.92,0.59,1.15
USA_New York_Male_25_Normal,USA,New York,Eastcoast US,Male,25,Normal,dan,0.91,0.62,1.38
IND_Delhi_Female_21_Normal,IND,Delhi,India,Female,21,Normal,tara,0.91,0.53,1.26
USA_Los Angeles_Male_30_Fast,USA,Los Angeles,Westcoast US,Male,30,Fast,josh,0.91,0.7,1.27
USA_Chicago_Female_23_Fast,USA,Chicago,Midwest US,Female,23,Fast,emma,0.92,0.55,1.39
USA_New York_Female_33_Normal,USA,New York,Eastcoast US,Female,33,Normal,tara,0.91,0.69,1.38
UK_London_Male_20_Slow,UK,London,England,Male,20,Slow,josh,0.96,0.63,1.5
USA_New York_Female_19_Fast,USA,New York,Eastcoast US,Female,19,Fast,tara,0.92,0.62,1.15
USA_Chicago_Female_34_Normal,USA,Chicago,Midwest US,Female,34,Normal,emma,0.93,0.6,1.14
USA_New York_Male_27_Normal,USA,New York,Eastcoast US,Male,27,Normal,dan,0.99,0.55,1.39
USA_Chicago_Male_37_Fast,USA,Chicago,Midwest US,Male,37,Fast,dan,0.95,0.54,1.33
USA_Chicago_Male_40_Fast,USA,Chicago,Midwest US,Male,40,Fast,dan,0.97,0.54,1.21
USA_Chicago_Male_34_Fast,USA,Chicago,Midwest US,Male,34,Fast,josh,0.92,0.54,1.13
USA_New York_Female_60_Slow,USA,New York,Eastcoast US,Female,60,Slow,emma,0.92,0.66,1.13
USA_Miami_Female_59_Fast,USA,Miami,Latin,Female,59,Fast,tara,0.9,0.57,1.46
USA_New York_Female_32_Slow,USA,New York,Eastcoast US,Female,32,Slow,emma,0.92,0.51,1.18
USA_New York_Male_17_Normal,USA,New York,Eastcoast US,Male,17,Normal,dan,0.93,0.69,1.23
UK_London_Female_42_Normal,UK,London,England,Female,42,Normal,tara,0.92,0.68,1.19
USA_New York_Male_54_Slow,USA,New York,Eastcoast US,Male,54,Slow,josh,0.91,0.69,1.24
USA_Chicago_Female_16_Fast,USA,Chicago,Midwest US,Female,16,Fast,emma,0.91,0.7,1.13
USA_Los Angeles_Female_38_Fast,USA,Los Angeles,Westcoast US,Female,38,Fast,tara,0.95,0.53,1.31
USA_Los Angeles_Female_34_Fast,USA,Los Angeles,Westcoast US,Female,34,Fast,emma,0.92,0.58,1.13
AUS_Sydney_Female_46_Normal,AUS,Sydney,Australia,Female,46,Normal,emma,0.94,0.65,1.42
USA_Los Angeles_Male_41_Normal,USA,Los Angeles,Westcoast US,Male,41,Normal,dan,0.95,0.64,1.19
USA_Los Angeles_Male_39_Fast,USA,Los Angeles,Westcoast US,Male,39,Fast,dan,0.97,0.53,1.32
USA_Miami_Female_19_Slow,USA,Miami,Latin,Female,19,Slow,emma,0.9,0.66,1.45
UK_London_Female_37_Normal,UK,London,England,Female,37,Normal,tara,0.98,0.54,1.36
USA_New York_Male_29_Slow,USA,New York,Eastcoast US,Male,29,Slow,dan,0.96,0.54,1.31
USA_Los Angeles_Female_28_Fast,USA,Los Angeles,Westcoast US,Female,28,Fast,emma,0.91,0.61,1.23
USA_New York_Female_30_Fast,USA,New York,Eastcoast US,Female,30,Fast,tara,0.99,0.62,1.23
USA_Miami_Male_39_Slow,USA,Miami,Latin,Male,39,Slow,dan,0.99,0.62,1.37
USA_Los Angeles_Female_30_Fast,USA,Los Angeles,Westcoast US,Female,30,Fast,emma,0.91,0.52,1.5
USA_New York_Male_43_Normal,USA,New York,Eastcoast US,Male,43,Normal,josh,0.93,0.68,1.36
USA_Los Angeles_Male_35_Normal,USA,Los Angeles,Westcoast US,Male,35,Normal,dan,0.98,0.55,1.32
USA_Chicago_Female_31_Slow,USA,Chicago,Midwest US,Female,31,Slow,tara,0.97,0.53,1.39
USA_Los Angeles_Female_23_Fast,USA,Los Angeles,Westcoast US,Female,23,Fast,emma,0.92,0.68,1.29
USA_Los Angeles_Male_38_Normal,USA,Los Angeles,Westcoast US,Male,38,Normal,josh,0.92,0.69,1.12
USA_Chicago_Female_15_Normal,USA,Chicago,Midwest US,Female,15,Normal,emma,0.94,0.67,1.32
UK_London_Female_26_Normal,UK,London,England,Female,26,Normal,emma,0.95,0.66,1.48
UK_London_Female_39_Fast,UK,London,England,Female,39,Fast,tara,0.96,0.63,1.17
USA_New York_Female_22_Normal,USA,New York,Eastcoast US,Female,22,Normal,emma,0.94,0.61,1.38
USA_New York_Female_49_Slow,USA,New York,Eastcoast US,Female,49,Slow,emma,0.95,0.52,1.18
USA_New York_Male_28_Fast,USA,New York,Eastcoast US,Male,28,Fast,dan,0.97,0.58,1.31
UK_London_Female_48_Slow,UK,London,England,Female,48,Slow,emma,0.9,0.57,1.14
USA_Los Angeles_Male_57_Normal,USA,Los Angeles,Westcoast US,Male,57,Normal,dan,0.93,0.55,1.28
USA_Los Angeles_Female_56_Normal,USA,Los Angeles,Westcoast US,Female,56,Normal,emma,0.97,0.64,1.4
USA_Chicago_Male_15_Normal,USA,Chicago,Midwest US,Male,15,Normal,josh,0.99,0.6,1.24
USA_Miami_Male_33_Normal,USA,Miami,Latin,Male,33,Normal,josh,0.95,0.52,1.37
USA_Miami_Female_32_Normal,USA,Miami,Latin,Female,32,Normal,tara,0.95,0.54,1.42
USA_Chicago_Male_31_Slow,USA,Chicago,Midwest US,Male,31,Slow,dan,0.91,0.64,1.47
USA_Los Angeles_Male_29_Fast,USA,Los Angeles,Westcoast US,Male,29,Fast,josh,0.94,0.52,1.19
USA_Los Angeles_Male_41_Fast,USA,Los Angeles,Westcoast US,Male,41,Fast,dan,0.95,0.67,1.26
UK_London_Female_15_Fast,UK,London,England,Female,15,Fast,tara,0.92,0.6,1.16
USA_Los Angeles_Male_33_Fast,USA,Los Angeles,Westcoast US,Male,33,Fast,dan,0.93,0.6,1.5
USA_Miami_Male_29_Normal,USA,Miami,Latin,Male,29,Normal,dan,0.94,0.62,1.47
USA_Dallas_Female_19_Slow,USA,Dallas,South US,Female,19,Slow,tara,0.9,0.66,1.32
USA_Los Angeles_Male_35_Fast,USA,Los Angeles,Westcoast US,Male,35,Fast,dan,0.93,0.57,1.44
IND_Delhi_Male_20_Slow,IND,Delhi,India,Male,20,Slow,josh,0.92,0.64,1.31
USA_Dallas_Male_78_Fast,USA,Dallas,South US,Male,78,Fast,josh,0.93,0.61,1.35
USA_New York_Male_46_Fast,USA,New York,Eastcoast US,Male,46,Fast,dan,0.91,0.55,1.14
USA_Miami_Female_58_Normal,USA,Miami,Latin,Female,58,Normal,emma,0.99,0.68,1.4
USA_New York_Male_60_Normal,USA,New York,Eastcoast US,Male,60,Normal,josh,0.96,0.66,1.15
USA_New York_Male_57_Normal,USA,New York,Eastcoast US,Male,57,Normal,josh,0.97,0.63,1.43
USA_Los Angeles_Female_53_Normal,USA,Los Angeles,Westcoast US,Female,53,Normal,emma,0.98,0.67,1.41
USA_Miami_Female_74_Fast,USA,Miami,Latin,Female,74,Fast,tara,0.95,0.67,1.38
USA_New York_Female_29_Slow,USA,New York,Eastcoast US,Female,29,Slow,emma,0.91,0.64,1.11
USA_Los Angeles_Male_38_Slow,USA,Los Angeles,Westcoast US,Male,38,Slow,josh,0.95,0.67,1.22
UK_London_Female_43_Fast,UK,London,England,Female,43,Fast,tara,0.96,0.64,1.21
USA_Chicago_Female_51_Slow,USA,Chicago,Midwest US,Female,51,Slow,tara,0.97,0.64,1.24
USA_Miami_Male_43_Normal,USA,Miami,Latin,Male,43,Normal,josh,0.94,0.62,1.14
UK_London_Male_40_Normal,UK,London,England,Male,40,Normal,josh,0.91,0.65,1.47
USA_Miami_Male_46_Normal,USA,Miami,Latin,Male,46,Normal,josh,0.93,0.53,1.32
USA_New York_Male_29_Normal,USA,New York,Eastcoast US,Male,29,Normal,josh,0.94,0.68,1.22
USA_Dallas_Female_29_Normal,USA,Dallas,South US,Female,29,Normal,emma,0.96,0.67,1.26
UK_London_Female_44_Fast,UK,London,England,Female,44,Fast,emma,0.96,0.51,1.28
USA_Los Angeles_Male_52_Fast,USA,Los Angeles,Westcoast US,Male,52,Fast,dan,0.94,0.67,1.34
USA_New York_Female_28_Slow,USA,New York,Eastcoast US,Female,28,Slow,emma,1.0,0.53,1.31
USA_New York_Male_33_Slow,USA,New York,Eastcoast US,Male,33,Slow,josh,0.96,0.57,1.47
USA_Miami_Female_63_Normal,USA,Miami,Latin,Female,63,Normal,tara,0.92,0.65,1.3
USA_Dallas_Female_33_Slow,USA,Dallas,South US,Female,33,Slow,tara,0.91,0.53,1.5
USA_Chicago_Male_34_Normal,USA,Chicago,Midwest US,Male,34,Normal,dan,0.92,0.66,1.44
USA_New York_Male_45_Fast,USA,New York,Eastcoast US,Male,45,Fast,dan,0.92,0.67,1.18
UK_London_Male_20_Fast,UK,London,England,Male,20,Fast,josh,0.92,0.6,1.47
USA_Miami_Female_61_Slow,USA,Miami,Latin,Female,61,Slow,emma,0.92,0.5,1.15
USA_New York_Female_25_Slow,USA,New York,Eastcoast US,Female,25,Slow,emma,0.93,0.56,1.43
UK_London_Female_35_Normal,UK,London,England,Female,35,Normal,emma,0.92,0.62,1.25
USA_New York_Female_18_Slow,USA,New York,Eastcoast US,Female,18,Slow,emma,0.99,0.7,1.45
CA_Montreal_Female_64_Fast,CA,Montreal,French,Female,64,Fast,emma,0.91,0.63,1.45
USA_Los Angeles_Female_28_Normal,USA,Los Angeles,Westcoast US,Female,28,Normal,tara,0.95,0.55,1.42
USA_Los Angeles_Female_43_Normal,USA,Los Angeles,Westcoast US,Female,43,Normal,emma,0.94,0.63,1.42
AUS_Sydney_Male_27_Slow,AUS,Sydney,Australia,Male,27,Slow,dan,1.0,0.61,1.22
USA_Dallas_Male_42_Normal,USA,Dallas,South US,Male,42,Normal,dan,0.91,0.66,1.13
USA_Miami_Male_40_Fast,USA,Miami,Latin,Male,40,Fast,josh,0.94,0.52,1.26
USA_Los Angeles_Female_39_Fast,USA,Los Angeles,Westcoast US,Female,39,Fast,tara,1.0,0.65,1.17
USA_Chicago_Male_25_Normal,USA,Chicago,Midwest US,Male,25,Normal,josh,0.99,0.61,1.38
USA_New York_Male_35_Slow,USA,New York,Eastcoast US,Male,35,Slow,dan,0.98,0.69,1.24
UK_London_Male_43_Fast,UK,London,England,Male,43,Fast,josh,0.93,0.57,1.49
USA_New York_Female_21_Slow,USA,New York,Eastcoast US,Female,21,Slow,tara,0.92,0.63,1.36
UK_London_Male_46_Normal,UK,London,England,Male,46,Normal,josh,0.97,0.69,1.43
USA_Miami_Female_45_Normal,USA,Miami,Latin,Female,45,Normal,emma,0.99,0.52,1.15
USA_Los Angeles_Female_67_Slow,USA,Los Angeles,Westcoast US,Female,67,Slow,emma,0.96,0.69,1.44
USA_Chicago_Female_38_Slow,USA,Chicago,Midwest US,Female,38,Slow,emma,0.96,0.64,1.47
USA_Los Angeles_Female_26_Slow,USA,Los Angeles,Westcoast US,Female,26,Slow,emma,0.93,0.51,1.29
USA_Los Angeles_Female_50_Slow,USA,Los Angeles,Westcoast US,Female,50,Slow,tara,0.98,0.56,1.34
USA_New York_Female_26_Normal,USA,New York,Eastcoast US,Female,26,Normal,tara,0.92,0.64,1.41
USA_Los Angeles_Male_17_Fast,USA,Los Angeles,Westcoast US,Male,17,Fast,dan,0.93,0.51,1.17
USA_Los Angeles_Male_35_Slow,USA,Los Angeles,Westcoast US,Male,35,Slow,josh,0.94,0.62,1.3
USA_Los Angeles_Male_27_Fast,USA,Los Angeles,Westcoast US,Male,27,Fast,dan,0.95,0.57,1.26
CA_Montreal_Female_16_Normal,CA,Montreal,French,Female,16,Normal,emma,0.92,0.62,1.16
USA_Los Angeles_Male_27_Slow,USA,Los Angeles,Westcoast US,Male,27,Slow,josh,0.91,0.51,1.25
USA_New York_Male_57_Fast,USA,New York,Eastcoast US,Male,57,Fast,dan,0.96,0.67,1.13
USA_Los Angeles_Male_42_Slow,USA,Los Angeles,Westcoast US,Male,42,Slow,dan,0.93,0.69,1.11
CA_Montreal_Male_16_Fast,CA,Montreal,French,Male,16,Fast,josh,0.96,0.69,1.15
USA_New York_Female_56_Slow,USA,New York,Eastcoast US,Female,56,Slow,tara,0.92,0.65,1.49
CA_Montreal_Female_21_Normal,CA,Montreal,French,Female,21,Normal,emma,0.95,0.53,1.32
USA_Los Angeles_Male_28_Fast,USA,Los Angeles,Westcoast US,Male,28,Fast,josh,0.95,0.65,1.49
USA_Dallas_Male_41_Fast,USA,Dallas,South US,Male,41,Fast,josh,0.91,0.5,1.27
USA_Los Angeles_Female_15_Slow,USA,Los Angeles,Westcoast US,Female,15,Slow,emma,0.93,0.5,1.22
USA_New York_Female_24_Normal,USA,New York,Eastcoast US,Female,24,Normal,emma,0.91,0.56,1.3
UK_London_Female_35_Fast,UK,London,England,Female,35,Fast,tara,0.91,0.6,1.28
USA_Chicago_Female_20_Normal,USA,Chicago,Midwest US,Female,20,Normal,tara,1.0,0.65,1.14
USA_Los Angeles_Male_29_Normal,USA,Los Angeles,Westcoast US,Male,29,Normal,josh,0.93,0.64,1.36
USA_Los Angeles_Male_25_Normal,USA,Los Angeles,Westcoast US,Male,25,Normal,josh,0.98,0.59,1.19
USA_Chicago_Male_38_Fast,USA,Chicago,Midwest US,Male,38,Fast,dan,0.93,0.55,1.35
USA_Los Angeles_Male_55_Slow,USA,Los Angeles,Westcoast US,Male,55,Slow,dan,0.97,0.7,1.36
USA_Los Angeles_Male_58_Normal,USA,Los Angeles,Westcoast US,Male,58,Normal,josh,0.98,0.59,1.16
USA_Dallas_Female_30_Normal,USA,Dallas,South US,Female,30,Normal,tara,0.96,0.59,1.12
UK_London_Male_36_Slow,UK,London,England,Male,36,Slow,josh,0.95,0.53,1.41
USA_Chicago_Female_18_Slow,USA,Chicago,Midwest US,Female,18,Slow,tara,0.94,0.66,1.28
USA_Chicago_Male_72_Normal,USA,Chicago,Midwest US,Male,72,Normal,josh,0.93,0.64,1.12
USA_Miami_Female_17_Normal,USA,Miami,Latin,Female,17,Normal,tara,0.99,0.54,1.5
UK_London_Male_30_Normal,UK,London,England,Male,30,Normal,josh,0.98,0.52,1.12
USA_Los Angeles_Male_51_Fast,USA,Los Angeles,Westcoast US,Male,51,Fast,dan,1.0,0.64,1.38
USA_New York_Male_33_Normal,USA,New York,Eastcoast US,Male,33,Normal,dan,0.91,0.63,1.49
USA_Chicago_Female_26_Slow,USA,Chicago,Midwest US,Female,26,Slow,emma,0.97,0.55,1.2
USA_New York_Male_32_Slow,USA,New York,Eastcoast US,Male,32,Slow,dan,0.99,0.69,1.16
USA_Miami_Female_29_Fast,USA,Miami,Latin,Female,29,Fast,emma,0.92,0.53,1.15
USA_Los Angeles_Female_60_Fast,USA,Los Angeles,Westcoast US,Female,60,Fast,tara,0.91,0.59,1.22
USA_Los Angeles_Male_19_Normal,USA,Los Angeles,Westcoast US,Male,19,Normal,josh,0.97,0.69,1.14
USA_New York_Female_52_Normal,USA,New York,Eastcoast US,Female,52,Normal,tara,0.96,0.58,1.38
USA_Los Angeles_Female_33_Slow,USA,Los Angeles,Westcoast US,Female,33,Slow,emma,0.98,0.63,1.12
USA_New York_Male_26_Fast,USA,New York,Eastcoast US,Male,26,Fast,dan,0.91,0.58,1.3
USA_Miami_Male_56_Slow,USA,Miami,Latin,Male,56,Slow,josh,0.98,0.55,1.5
UK_London_Female_34_Normal,UK,London,England,Female,34,Normal,tara,0.92,0.7,1.43
USA_Los Angeles_Female_24_Normal,USA,Los Angeles,Westcoast US,Female,24,Normal,emma,0.92,0.58,1.35
USA_New York_Male_32_Fast,USA,New York,Eastcoast US,Male,32,Fast,josh,0.92,0.68,1.22
CA_Montreal_Female_31_Normal,CA,Montreal,French,Female,31,Normal,emma,0.98,0.55,1.35
USA_Los Angeles_Female_42_Slow,USA,Los Angeles,Westcoast US,Female,42,Slow,tara,0.97,0.54,1.31
USA_Los Angeles_Male_47_Normal,USA,Los Angeles,Westcoast US,Male,47,Normal,josh,0.95,0.51,1.27
USA_Miami_Female_70_Fast,USA,Miami,Latin,Female,70,Fast,tara,0.94,0.63,1.15
UK_London_Male_42_Normal,UK,London,England,Male,42,Normal,josh,0.99,0.57,1.45
CA_Montreal_Male_46_Normal,CA,Montreal,French,Male,46,Normal,dan,0.94,0.67,1.28
USA_New York_Male_73_Normal,USA,New York,Eastcoast US,Male,73,Normal,josh,0.98,0.59,1.18
USA_New York_Male_30_Fast,USA,New York,Eastcoast US,Male,30,Fast,dan,0.94,0.69,1.25
USA_New York_Female_57_Normal,USA,New York,Eastcoast US,Female,57,Normal,tara,0.94,0.54,1.27
USA_Los Angeles_Female_72_Slow,USA,Los Angeles,Westcoast US,Female,72,Slow,emma,0.95,0.67,1.43
USA_Miami_Male_34_Normal,USA,Miami,Latin,Male,34,Normal,dan,0.93,0.66,1.39
USA_New York_Female_61_Fast,USA,New York,Eastcoast US,Female,61,Fast,tara,0.97,0.65,1.41
USA_New York_Female_29_Fast,USA,New York,Eastcoast US,Female,29,Fast,emma,0.95,0.67,1.1
USA_New York_Male_38_Fast,USA,New York,Eastcoast US,Male,38,Fast,dan,0.92,0.65,1.27
USA_Los Angeles_Female_21_Normal,USA,Los Angeles,Westcoast US,Female,21,Normal,tara,0.99,0.63,1.29
USA_Los Angeles_Female_18_Normal,USA,Los Angeles,Westcoast US,Female,18,Normal,tara,0.94,0.53,1.11
USA_New York_Female_61_Slow,USA,New York,Eastcoast US,Female,61,Slow,emma,0.95,0.51,1.2
USA_New York_Male_44_Fast,USA,New York,Eastcoast US,Male,44,Fast,dan,0.99,0.68,1.4
USA_New York_Male_28_Slow,USA,New York,Eastcoast US,Male,28,Slow,josh,0.96,0.62,1.15
